"Name"|"Note"|"Misc"
"Honeysuckle Beach"|""|"4.8(4)\nBeach "
"Chinamans Beach"|"Not the other chinamans Beach in fuck hole sydney"|"4.7(225)\nBeach \nRelaxed beach with dune trails"
"35°35'16.8"S 150°20'50.4"E"|"Snake Bay https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/pebbly-beach-to-snake-bay-walking-track"|"(-35.587990, 150.347336)"
"Cookies Beach"|""|"4.7(24)\nBeach "
"Oaky Beach Walking Track"|""|""
"Durras North Beach"|""|"4.7(49)\nScenic spot · 17 Flinders Rd"
"35°37'45.4"S 150°19'37.4"E"|"Tranquility Bay"|"(-35.629266, 150.327065)"
"Depot Beach"|""|"4.9(15)\nBeach "
"Pebbly Beach"|""|"4.9(11)\nBeach "
"35°36'12.2"S 150°20'02.8"E"|"Burns Bay"|"(-35.603375, 150.334113)"
"35°35'06.6"S 150°21'06.6"E"|"Dawsons Islands Beach"|"(-35.585153, 150.351844)"
"35°34'42.6"S 150°21'21.9"E"|"O'Hara Island Beach South"|"(-35.578503, 150.356078)"
"Singing Stones Beach"|""|"4.5(8)\nNational park "
"Island Beach"|""|"5.0(2)\nBeach "
"Pretty Beach"|""|"5.0(4)\nBeach "
"Merry Beach"|""|"5.0(8)\nBeach "
"Kioloa Beach"|""|"4.8(21)\nBeach "
"35°32'59.8"S 150°22'58.1"E"|"Avenue Beach"|"(-35.549948, 150.382797)"
"Shelly Beach"|""|"4.0(1)\nBeach "
"Racecourse Beach"|""|"5.0(2)\nBeach "
"Bull Pup Beach"|""|"3.7(3)\nBeach "
"Cat And Kitten Beach"|""|"Beach "
"Murramarang Beach"|""|"5.0(9)\nBeach "
"Gannet Beach"|""|"4.3(3)\nBeach "
"Cormorant Beach"|""|"4.6(8)\nBeach "
"Bawley Beach"|""|"4.9(28)\nBeach "
"North Beach"|""|"4.0(2)\nBeach "
"35°29'29.5"S 150°23'24.1"E"|"Nuggan Point Beach"|"(-35.491532, 150.390027)"
"Meroo Head lookout walking track"|"Meroo Beach is through Meroo Lake Walking Track"|"Tourist attraction · Termeil"
"Termeil Point campground"|"Walk down Termeil Point Walking Track to get to Termeil Point Beach"|"4.5(60)\nCamping Ground · Termeil"
"Sunburnt Beach campground"|""|"4.5(50)\nCamping Ground · Termeil"
"35°27'23.3"S 150°24'09.6"E"|"Stokes Island beach, walk across at low tide"|"(-35.456469, 150.402667)"
"35°23'08.8"S 150°27'24.1"E"|"Burill Lake Entrance Beach"|"(-35.385783, 150.456697)"
