Name|Note|Misc
"Bridal Veil Falls"|"To find secret pool:
Go to the base of bridal veil falls and go to the left side of the bridge (you'll see the concrete barrel) and follow the water down. There is a rope to help you get down."|"5.0(1) - Tourist attraction · 78HC+5X"
"Craig’s Hut"|""|"4.8(516) - Tourist attraction · Clear Hills Track - Hilltop shelter with far-reaching vistas - Open 24 hours"
"The Horn Lookout"|""|"4.9(186) - Tourist attraction · Mount Buffalo Rd"
"Mount Beauty Gorge Walk"|""|"4.6(59) - Hiking area · Unnamed Road"
"Bindaree Falls"|""|"4.8(92) - Scenic spot · Bindaree Falls Walk - Open 24 hours"
"Mount Feathertop"|""|"4.9(40) - Mountain peak  - Destination for hiking & winter sports"
"Rollasons Fall"|""|"4.7(62) - Scenic spot "
"Merrijig"|"Plains Creek Falls is somewhere here"|"Victoria 3723"
"Mount Buller Summit"|""|"4.7(127) - Hiking area "
"National Falls"|"https://pioneerwalks.com.au/walk/national-falls/

Secret spot nearby:
https://www.walkmyworld.com/posts/national-falls-royal-national-park"|"4.2(67) - Scenic spot · McKell Ave - Open 24 hours"
"Red Rock Gorge Lookout"|""|"4.6(59) - Scenic spot "
"Himalayan Cedar Lookout"|""|"4.6(237) - Scenic spot · Himalayan Cedar Rd - Open until 5:30 pm"
"Mount Ainslie"|"https://www.alltrails.com/trail/australia/australian-capital-territory/mount-ainslie?ref=result-card"|"4.6(153) - Mountain peak  - Peak with walking trail & sunset views"
"River Caves Canyon"|"https://pioneerwalks.com.au/walk/river-caves-canyon-wollemi/"|"4.7(15) - Tourist attraction "
"Jingga Pool"|"https://pioneerwalks.com.au/walk/jingga-track/"|"4.7(55) - Scenic spot · Dharawal National Park - Open 24 hours"
"Burning Palms Beach"|""|"4.7(215) - Beach "
"Blowering Cliffs walking track"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/blowering-cliffs-walking-track"|"Tourist attraction · H8G3+P4"
"White Sands Walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/white-sands-walk-and-scribbly-gum-track"|""
"Co May Vietnamese Restaurant"|""|"4.2(112) - $ · Vietnamese · 3/4 Kenny St - Vietnamese dining in an unfussy locale - Open until 3:00 pm"
"Sea cave, Caves Beach"|""|"4.7(544) - Beach · 156 Caves Beach Rd"
"Mungo Lookout"|"https://www.nationalparks.nsw.gov.au/things-to-do/lookouts/mungo-lookout"|"4.8(20) - Tourist attraction · Mungo"
"Sphinx Memorial"|""|"4.4(126) - War memorial · North Turramurra - Open until 5:30 pm"
"Bendeela Recreation Area"|""|"4.6(521) - Camping Ground "
"Nam Restaurant"|""|"4.4(197) - $$ · Vietnamese · Wollongong - Open until 2:30 pm"
"Dove Lake"|""|"4.8(250) - Lake  - Scenic lake with paths & mountain views"
"Perry Sandhills"|""|"4.5(286) - Tourist attraction · Wentworth - Open 24 hours"
"Landers Falls lookout"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/landers-falls-lookout-walk
https://www.alltrails.com/trail/australia/new-south-wales/landers-falls-lookout"|"4.3(11) - Scenic spot · Pinbeyan - Open 24 hours"
"Cave Beach"|"https://concreteplayground.com/sydney/travel-leisure/leisure/ten-best-caves-to-visit-near-sydney/amp"|"4.8(86) - Beach "
"Red Rocks trig walking track"|"Red Rocks Trig Trail on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/red-rocks-trig-trail?p=35856086"|"4.3(9) - Scenic spot · Red Rocks"
"Bushrangers Bay"|""|"4.6(291) - Nature preserve · Shell Cove"
"Mount Portal Trail"|""|""
"Gardens of Many Nations"|""|"4.6(75) - Tourist attraction · Galston - Open until 7:00 pm"
"Cabbage Tree Beach"|""|"5.0(9) - Beach "
"Charlotte Pass"|""|"4.3(103) - Mountain pass  - Skiing & hikes to Mt. Kosciuszko"
"Yarrangobilly Caves thermal pool walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/yarrangobilly-river-walk"|"4.0(1) - Tourist attraction · Yarrangobilly"
"Thredbo"|""|"4.5(2,275) - Ski resort · Thredbo - Ski area with summer recreation"
"Urunga Boardwalk"|""|"4.7(1,267) - Tourist attraction  - Open 24 hours"
"Mount Beauty"|""|"Victoria 3699"
"Four Mile Hut walk"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/four-mile-hut-walk"|"Tourist attraction · Cabramurra"
"Gibraltar Falls"|"https://pioneerwalks.com.au/walk/gibraltar-falls/"|"4.6(787) - Tourist attraction · Paddys River"
"Three Views walking track"|""|"4.3(50) - Hiking area · Moollattoo"
"Catherine Hill Bay"|""|"New South Wales 2281"
"Minerva Pool"|"https://pioneerwalks.com.au/walk/minerva-pool/"|"4.6(94) - Park  - Open 24 hours"
"Snapper Point"|""|"4.5(26) - Peninsula "
"Auburn Botanic Gardens"|""|"4.4(4,271) - Botanical garden · Auburn - Flora & fauna in a scenic setting - Open until 5:00 pm"
"Robertson Lookout"|""|"4.6(80) - Tourist attraction · Mount Keira"
"Lincoln's Rock"|""|"4.8(1,423) - Tourist attraction · Wentworth Falls - Rock ledge with Blue Mountains views - Open 24 hours"
"Lake Crackenback"|""|"4.0(1) - Tourist attraction "
"Walkers Beach"|""|"5.0(7) - Beach  - Scenic beach with a grassy trail"
"Ghosties Beach Caves"|""|"4.9(27) - Historical landmark  - Open 24 hours"
"Aslings Beach Rock Pool"|""|"4.4(68) - Public swimming pool  - Open 24 hours"
"Ciao Cucina"|""|"4.7(202) - $$ · Italian · Wollongong - Open until 3:00 pm"
"Miss Lee's"|""|"4.5(412) - $ · Asian Fusion · Wollongong - Open until 9:00 pm"
"Oaks Pacific Blue Resort, Bagnall Beach Rd"|""|"Bus stop "
"Thredbo River Track"|""|""
"Blue Lake"|"Via Blue Lake Walk/Hike"|"4.5(14) - Lake  - Mountain meadows & hiking trails"
"Granite Falls walking track"|"Granite Falls Walking Track on AllTrails https://www.alltrails.com/trail/australia/new-south-wales/granite-falls-walking-track"|"4.8(4) - Tourist attraction · Twelve Mile Peg"
"Bogong High Plains"|""|"4.2(5) - Terrain "
"Akari Japanese Restaurant"|""|"4.4(145) - $$ · Japanese · Wollongong - Closed · Opens at 5:00 pm"
"Mount Buffalo"|""|"4.6(27) - Mountain peak  - Sweeping views & summit picnic tables"
"Jervis Bay"|""|"4.7(642) - Bay  - Tranquil oasis with white sands & whales"
"Aslings Beach"|""|"4.6(56) - Beach  - Sandy spot for swimming & surfing"
"Pinnacles loop walking track"|"https://www.alltrails.com/trail/australia/new-south-wales/pinnacles-loop-walk"|"4.2(9) - Tourist attraction · Eden - Temporarily closed"
"Talbingo"|""|"New South Wales 2720"
"Glenbrook Gorge"|""|"4.4(30) - Landmark "
"Mylan"|""|"4.5(248) - Vietnamese · Wollongong - Vietnamese favourites in a casual space - Open until 3:00 pm"
"Karijini National Park"|""|"4.7(1,074) - National park  - Gorges, swimming holes & camping - Open until 4:00 pm"
"Green Connect Farm"|""|"4.9(30) - Organic farm · Warrawong"
"Amarin Thai Cuisine"|""|"4.2(146) - $ · Thai · Warrawong - Closed · Opens at 4:30 pm"
"Rottnest Island"|""|"Western Australia 6161"
"Cradle Mountain"|""|"Tasmania 7306"
"Nichols Gorge walking track"|"https://www.nationalparks.nsw.gov.au/things-to-do/walking-tracks/nichols-gorge-walking-track"|"Tourist attraction · Cooleman"
"Terra Mia"|""|"4.0(246) - $$ · Italian · Wollongong - Open until 10:00 pm"
"Lake Munmorah"|""|"New South Wales 2259"
"Timber Beach"|"Instructions to rainbow sea cave:
https://www.instagram.com/p/BRAxlc4FZHk/?utm_medium=copy_link"|"4.8(4) - National park  - Open until 7:00 pm"
"Mungo National Park"|""|"4.5(167) - National park · Mungo - Nature site for walks, picnics & camping - Open 24 hours"
"Tamarama Beach"|""|"4.6(3,514) - Beach  - Cove beach with picnic & play areas"
"Illawong Walk"|""|""
"Evil Eye Cafe"|""|"4.5(159) - Cafe · Fairy Meadow - Open until 4:00 pm"
"Tumut"|""|"New South Wales 2720"
"Wallagoot Beach"|""|"5.0(1) - Beach "
"Mallee Stop Walking Track"|""|""
"Lake Jindabyne"|""|"4.8(54) - Lake  - Reservoir with boating & trout fishing"
"Wilsons Promontory"|""|"Victoria 3960"
"Granite Falls"|"https://pioneerwalks.com.au/walk/granite-falls/"|"4.5(46) - Scenic spot · Twelve Mile Peg"
